RBG_CYC_66824_Nw_c0_41V_40C_C10C10_170627_622BNG_VC211_100DOD_127 (155723 Points)
Capacity (mAh)	Voltage (V)
0	3.7686
0	3.7692
0	3.7648
3.4	3.7459
6.7	3.7323
10.1	3.7196
13.4	3.7075
16.8	3.696
20.1	3.6852
23.4	3.6752
26.8	3.6659
30.1	3.6569
33.5	3.6486
36.9	3.6408
40.2	3.6334
43.5	3.6263
46.9	3.6197
50.3	3.6129
53.6	3.6067
57	3.6005
60.3	3.5943
63.6	3.5878
67	3.581
70.3	3.5739
73.7	3.5667
77	3.5593
80.4	3.5515
83.8	3.5435
87.1	3.5345
90.5	3.5255
93.8	3.5159
97.2	3.505
100.5	3.4936
103.8	3.4818
107.2	3.47
110.5	3.4576
113.9	3.4464
117.3	3.4378
120.6	3.4294
124	3.4201
127.3	3.4105
130.7	3.3999
134	3.3869
137.3	3.3699
140.7	3.3398
143.4	3.2998
144.1	3.2886
146.1	3.2486
147.4	3.2214
149	3.1814
150.4	3.1414
150.8	3.1318
151.9	3.0918
153	3.0518
153.9	3.0118
154.1	3.0019
154.1	3
0	3.0143
0.1	3.0543
0.5	3.0943
1.2	3.1343
2.1	3.1746
3.3	3.2149
3.4	3.2173
4.7	3.2573
6.3	3.2973
6.7	3.3051
8.7	3.3451
10.1	3.3668
12.8	3.4068
13.4	3.4142
16.8	3.4399
20.1	3.4489
23.4	3.4564
26.8	3.4638
30.1	3.4709
33.5	3.4784
36.9	3.4867
40.2	3.496
43.5	3.5063
46.9	3.5174
50.3	3.5289
53.6	3.5407
57	3.5522
60.3	3.5633
63.6	3.5739
67	3.5853
70.3	3.5956
73.7	3.6033
77	3.6104
80.4	3.6173
83.8	3.6238
87.1	3.6297
90.5	3.6352
93.8	3.6408
97.2	3.6458
100.5	3.6517
103.8	3.6573
107.2	3.6635
110.5	3.6693
113.9	3.6762
117.3	3.683
120.6	3.6907
124	3.6988
127.3	3.7078
130.7	3.7174
134	3.7276
137.3	3.7385
140.7	3.75
144.1	3.7624
147.4	3.7751
150.8	3.7884
154.1	3.8027
157.4	3.8166
160.8	3.8312
164.2	3.8461
167.5	3.8616
170.8	3.8774
174.2	3.8932
177.6	3.9099
180.9	3.9273
184.3	3.9443
187.6	3.9611
190.9	3.9772
194.3	3.993
197.7	4.0091
201	4.0256
204.3	4.0423
207.7	4.059
211.1	4.0761
214.4	4.0931
216.5	4.0997
0	4.0925
3.4	4.0628
6.7	4.0423
10.1	4.0231
13.4	4.0042
16.8	3.9865
20.1	3.9685
23.4	3.9505
26.8	3.9329
30.1	3.9143
33.5	3.895
36.9	3.8761
40.2	3.8578
43.5	3.8414
46.9	3.8256
50.3	3.8101
53.6	3.7952
57	3.781
60.3	3.767
63.6	3.7531
67	3.7397
70.3	3.727
73.7	3.7146
77	3.7031
80.4	3.692
83.8	3.6817
87.1	3.6718
90.5	3.6625
93.8	3.6538
97.2	3.6458
100.5	3.638
103.8	3.6309
107.2	3.6244
110.5	3.6176
113.9	3.6111
117.3	3.6046
120.6	3.5984
124	3.5918
127.3	3.5853
130.7	3.5782
134	3.5714
137.3	3.5639
140.7	3.5565
144.1	3.5481
147.4	3.5398
150.8	3.5308
154.1	3.5208
157.4	3.5106
160.8	3.4982
164.2	3.4861
167.5	3.474
170.8	3.4626
174.2	3.4514
177.6	3.4427
180.9	3.435
184.3	3.4266
187.6	3.4176
190.9	3.4077
194.3	3.3959
197.7	3.381
201	3.3578
204.1	3.3178
204.3	3.3144
206.6	3.2741
207.7	3.2533
209.5	3.2133
211.1	3.1742
212.4	3.1339
213.6	3.0939
214.4	3.0657
215.3	3.0257
215.9	3
0	3.0143
0.2	3.0543
0.7	3.0943
1.4	3.1343
2.3	3.1746
3.4	3.2118
4.7	3.2521
6.3	3.2921
6.7	3.3004
8.7	3.3404
10.1	3.3634
12.8	3.4037
13.4	3.4111
16.8	3.439
20.1	3.4483
23.4	3.4557
26.8	3.4629
30.1	3.47
33.5	3.4774
36.9	3.4855
40.2	3.4948
43.5	3.5047
46.9	3.5162
50.3	3.5274
53.6	3.5391
57	3.5512
60.3	3.5624
63.6	3.5729
67	3.5841
70.3	3.5946
73.7	3.6027
77	3.6101
80.4	3.617
83.8	3.6232
87.1	3.629
90.5	3.6349
93.8	3.6405
97.2	3.6458
100.5	3.6514
103.8	3.6573
107.2	3.6635
110.5	3.6693
113.9	3.6762
117.3	3.6833
120.6	3.691
124	3.6991
127.3	3.7078
130.7	3.7177
134	3.7279
137.3	3.7388
140.7	3.7506
144.1	3.7627
147.4	3.7757
150.8	3.789
154.1	3.8033
157.4	3.8169
160.8	3.8315
164.2	3.8464
167.5	3.8616
170.8	3.8774
174.2	3.8932
177.6	3.9096
180.9	3.927
184.3	3.9443
187.6	3.9611
190.9	3.9775
194.3	3.9936
197.7	4.0101
201	4.0268
204.3	4.0438
207.7	4.0609
211.1	4.0776
214.4	4.0947
216.1	4.0993
0	4.0925
3.4	4.0628
6.7	4.0426
10.1	4.0234
13.4	4.0045
16.8	3.9862
20.1	3.9682
23.4	3.9499
26.8	3.9316
30.1	3.9124
33.5	3.8932
36.9	3.8749
40.2	3.8569
43.5	3.8408
46.9	3.825
50.3	3.8098
53.6	3.7952
57	3.781
60.3	3.767
63.6	3.7531
67	3.7397
70.3	3.727
73.7	3.7146
77	3.7031
80.4	3.692
83.8	3.6814
87.1	3.6718
90.5	3.6625
93.8	3.6538
97.2	3.6458
100.5	3.638
103.8	3.6309
107.2	3.6241
