RBG_CYC_66824_Nw_c0_41V_40C_C10C10_170627_622BNG_VC211_100DOD_127 (155722 Points)
Time (s)	Current (mAh)
3660	0
3660	-20.1
4260	-20.1
4860	-20.1
5460	-20.1
6060	-20.1
6660	-20.1
7260	-20.1
7860	-20.1
8460	-20.1
9060	-20.1
9660	-20.1
10260	-20.1
10860	-20.1
11460	-20.1
12060	-20.1
12660	-20.1
13260	-20.1
13860	-20.1
14460	-20.1
15060	-20.1
15660	-20.1
16260	-20.1
16860	-20.1
17460	-20.1
18060	-20.1
18660	-20.1
19260	-20.1
19860	-20.1
20460	-20.1
21060	-20.1
21660	-20.1
22260	-20.1
22860	-20.1
23460	-20.1
24060	-20.1
24660	-20.1
25260	-20.1
25860	-20.1
26460	-20.1
27060	-20.1
27660	-20.1
28260	-20.1
28860	-20.1
29346	-20.1
29460	-20.1
29832	-20.1
30060	-20.1
30350	-20.1
30604	-20.1
30660	-20.1
30873	-20.1
31060	-20.1
31222	-20.1
31260	-20.1
31266	-20.1
31266	20.1
31285	20.1
31363	20.1
31487	20.1
31651	20.1
31851	20.1
31866	20.1
32106	20.1
32401	20.1
32466	20.1
32833	20.1
33066	20.1
33557	20.1
33666	20.1
34266	20.1
34866	20.1
35466	20.1
36066	20.1
36666	20.1
37266	20.1
37866	20.1
38466	20.1
39066	20.1
39666	20.1
40266	20.1
40866	20.1
41466	20.1
42066	20.1
42666	20.1
43266	20.1
43866	20.1
44466	20.1
45066	20.1
45666	20.1
46266	20.1
46866	20.1
47466	20.1
48066	20.1
48666	20.1
49266	20.1
49866	20.1
50466	20.1
51066	20.1
51666	20.1
52266	20.1
52866	20.1
53466	20.1
54066	20.1
54666	20.1
55266	20.1
55866	20.1
56466	20.1
57066	20.1
57666	20.1
58266	20.1
58866	20.1
59466	20.1
60066	20.1
60666	20.1
61266	20.1
61866	20.1
62466	20.1
63066	20.1
63666	20.1
64266	20.1
64866	20.1
65466	20.1
66066	20.1
66666	20.1
67266	20.1
67866	20.1
68466	20.1
69066	20.1
69666	20.1
70107	10.1
70107	-20.1
70707	-20.1
71307	-20.1
71907	-20.1
72507	-20.1
73107	-20.1
73707	-20.1
74307	-20.1
74907	-20.1
75507	-20.1
76107	-20.1
76707	-20.1
77307	-20.1
77907	-20.1
78507	-20.1
79107	-20.1
79707	-20.1
80307	-20.1
80907	-20.1
81507	-20.1
82107	-20.1
82707	-20.1
83307	-20.1
83907	-20.1
84507	-20.1
85107	-20.1
85707	-20.1
86307	-20.1
86907	-20.1
87507	-20.1
88107	-20.1
88707	-20.1
89307	-20.1
89907	-20.1
90507	-20.1
91107	-20.1
91707	-20.1
92307	-20.1
92907	-20.1
93507	-20.1
94107	-20.1
94707	-20.1
95307	-20.1
95907	-20.1
96507	-20.1
97107	-20.1
97707	-20.1
98307	-20.1
98907	-20.1
99507	-20.1
100107	-20.1
100707	-20.1
101307	-20.1
101907	-20.1
102507	-20.1
103107	-20.1
103707	-20.1
104307	-20.1
104907	-20.1
105507	-20.1
106107	-20.1
106665	-20.1
106707	-20.1
107113	-20.1
107307	-20.1
107630	-20.1
107907	-20.1
108156	-20.1
108372	-20.1
108507	-20.1
108676	-20.1
108774	-20.1
108774	20.1
108804	20.1
108895	20.1
109025	20.1
109191	20.1
109374	20.1
109615	20.1
109903	20.1
109974	20.1
110333	20.1
110574	20.1
111065	20.1
111174	20.1
111774	20.1
112374	20.1
112974	20.1
113574	20.1
114174	20.1
114774	20.1
115374	20.1
115974	20.1
116574	20.1
117174	20.1
117774	20.1
118374	20.1
118974	20.1
119574	20.1
120174	20.1
120774	20.1
121374	20.1
121974	20.1
122574	20.1
123174	20.1
123774	20.1
124374	20.1
124974	20.1
125574	20.1
126174	20.1
126774	20.1
127374	20.1
127974	20.1
128574	20.1
129174	20.1
129774	20.1
130374	20.1
130974	20.1
131574	20.1
132174	20.1
132774	20.1
133374	20.1
133974	20.1
134574	20.1
135174	20.1
135774	20.1
136374	20.1
136974	20.1
137574	20.1
138174	20.1
138774	20.1
139374	20.1
139974	20.1
140574	20.1
141174	20.1
141774	20.1
142374	20.1
142974	20.1
143574	20.1
144174	20.1
144774	20.1
145374	20.1
145974	20.1
146574	20.1
147174	20.1
147548	10.1
147548	-20.1
148148	-20.1
148748	-20.1
149348	-20.1
149948	-20.1
150548	-20.1
151148	-20.1
151748	-20.1
152348	-20.1
152948	-20.1
153548	-20.1
154148	-20.1
154748	-20.1
155348	-20.1
155948	-20.1
156548	-20.1
157148	-20.1
157748	-20.1
158348	-20.1
158948	-20.1
159548	-20.1
160148	-20.1
160748	-20.1
161348	-20.1
161948	-20.1
162548	-20.1
163148	-20.1
163748	-20.1
164348	-20.1
164948	-20.1
165548	-20.1
166148	-20.1
166748	-20.1
167348	-20.1
167948	-20.1
168548	-20.1
169148	-20.1
169748	-20.1
170348	-20.1
170948	-20.1
171548	-20.1
172148	-20.1
172748	-20.1
173348	-20.1
173948	-20.1
174548	-20.1
175148	-20.1
175748	-20.1
176348	-20.1
176948	-20.1
177548	-20.1
178148	-20.1
178748	-20.1
179348	-20.1
179948	-20.1
180548	-20.1
181148	-20.1
181748	-20.1
182348	-20.1
182948	-20.1
183548	-20.1
184069	-20.1
184148	-20.1
184541	-20.1
184748	-20.1
185060	-20.1
185334	-20.1
185348	-20.1
185583	-20.1
185790	-20.1
185948	-20.1
186106	-20.1
186134	-20.1
186135	20.1
186170	20.1
186267	20.1
186399	20.1
186565	20.1
186734	20.1
186968	20.1
187251	20.1
187334	20.1
187692	20.1
187934	20.1
188419	20.1
188534	20.1
189134	20.1
189734	20.1
190335	20.1
190934	20.1
191534	20.1
192134	20.1
192734	20.1
193334	20.1
193934	20.1
194534	20.1
195134	20.1
195735	20.1
196334	20.1
196934	20.1
197534	20.1
198134	20.1
198734	20.1
199334	20.1
199934	20.1
200534	20.1
201134	20.1
201735	20.1
202334	20.1
202934	20.1
203534	20.1
204134	20.1
204734	20.1
205334	20.1
205934	20.1
206534	20.1
