RBG_CYC_83755_Nw_c0_41V_40C_180416_Lowercutoff_100DOD_C5C5_0000_08_1 (269954 Points)
Capacity (mAh)	Voltage (V)
0	3.7903
0	3.7903
0	3.7779
3.37	3.7534
6.73	3.7397
10.1	3.7261
13.46	3.7134
16.83	3.7013
20.19	3.6895
23.56	3.679
26.92	3.6684
30.29	3.6591
33.65	3.6501
37.02	3.6418
40.38	3.6343
43.75	3.6269
47.11	3.6204
50.48	3.6139
53.84	3.6073
57.21	3.6018
60.57	3.5962
63.94	3.5903
67.3	3.5844
70.67	3.5785
74.03	3.5729
77.4	3.5664
80.77	3.5599
84.13	3.5531
87.5	3.5453
90.86	3.5379
94.23	3.5298
97.59	3.5208
100.96	3.5119
104.32	3.5016
107.69	3.4911
111.05	3.479
114.42	3.4666
117.78	3.4536
121.15	3.4402
124.51	3.4297
127.88	3.4195
131.24	3.4095
134.61	3.3978
137.97	3.3851
141.34	3.3702
144.7	3.351
148.07	3.3231
151.43	3.2762
153.77	3.226
154.8	3.199
156.38	3.1488
157.66	3.0983
158.16	3.0757
159.12	3.0257
159.54	2.9997
0	3.0819
0.09	3.1339
0.37	3.1845
1.07	3.235
2.38	3.2855
3.37	3.3128
5.62	3.363
6.73	3.3829
10.1	3.4316
13.46	3.4517
16.83	3.4604
20.19	3.4681
23.56	3.4756
26.92	3.4827
30.29	3.4898
33.65	3.4982
37.02	3.5075
40.38	3.5181
43.75	3.5295
47.11	3.541
50.48	3.5528
53.84	3.5639
57.21	3.5748
60.57	3.5863
63.94	3.5965
67.3	3.6049
70.67	3.612
74.04	3.6185
77.4	3.6244
80.77	3.6303
84.13	3.6356
87.5	3.6405
90.86	3.6452
94.23	3.6501
97.59	3.6557
100.96	3.661
104.32	3.6662
107.69	3.6721
111.05	3.678
114.42	3.6848
117.78	3.692
121.15	3.6994
124.51	3.7078
127.88	3.7168
131.24	3.7264
134.61	3.7369
137.97	3.7478
141.34	3.7599
144.7	3.7723
148.07	3.7853
151.43	3.7989
154.8	3.8135
158.17	3.8281
161.53	3.8433
164.9	3.8588
168.26	3.8749
171.63	3.8904
174.99	3.9065
178.36	3.9217
181.72	3.9366
185.09	3.9515
188.45	3.9663
191.82	3.9815
195.18	3.9967
198.55	4.0119
201.91	4.0274
205.28	4.0429
208.64	4.059
212.01	4.0752
215.37	4.091
218.29	4.0981
219.75	4.0981
220.09	4.0981
0	4.091
3.37	4.0606
6.73	4.0414
10.1	4.0234
13.46	4.006
16.83	3.989
20.19	3.9719
23.56	3.9549
26.92	3.9381
30.29	3.9214
33.65	3.905
37.02	3.8876
40.38	3.8696
43.75	3.8513
47.11	3.833
50.48	3.8157
53.84	3.7996
57.21	3.7841
60.57	3.7692
63.94	3.7549
67.3	3.7416
70.67	3.7279
74.03	3.7155
77.4	3.7034
80.76	3.6917
84.13	3.6811
87.49	3.6706
90.86	3.6613
94.22	3.6526
97.59	3.6439
100.96	3.6362
104.32	3.6287
107.69	3.6219
111.05	3.6157
114.42	3.6092
117.78	3.603
121.15	3.5974
124.51	3.5918
127.88	3.5859
131.24	3.5801
134.61	3.5742
137.97	3.5677
141.34	3.5611
144.7	3.5543
148.07	3.5466
151.43	3.5388
154.8	3.5308
158.16	3.5221
161.53	3.5125
164.89	3.5022
168.26	3.4911
171.62	3.479
174.99	3.4666
178.35	3.4539
181.72	3.4412
185.08	3.4312
188.45	3.4219
191.81	3.4123
195.18	3.4009
198.54	3.3885
201.91	3.3733
205.27	3.3544
208.64	3.3268
212	3.28
214.35	3.23
215.37	3.204
217.01	3.1538
218.34	3.1036
218.74	3.0868
219.76	3.0366
220.4	2.9997
0	3.0722
0.11	3.1231
0.47	3.1733
1.27	3.2238
2.61	3.2738
3.37	3.2948
5.5	3.3448
6.73	3.3683
9.93	3.4185
10.1	3.4207
13.46	3.4483
16.83	3.4579
20.19	3.4657
23.56	3.4731
26.92	3.4799
30.29	3.4871
33.65	3.4945
37.02	3.5038
40.38	3.514
43.75	3.5252
47.11	3.5363
50.48	3.5481
53.84	3.5599
57.21	3.5708
60.57	3.5822
63.94	3.5928
67.3	3.6015
70.67	3.6095
74.03	3.6163
77.4	3.6222
80.76	3.6278
84.13	3.6334
87.5	3.6383
90.86	3.6433
94.23	3.6483
97.59	3.6535
100.96	3.6588
104.32	3.6641
107.69	3.6697
111.05	3.6759
114.42	3.6824
117.78	3.6892
121.15	3.6966
124.51	3.7047
127.88	3.7137
131.24	3.723
134.61	3.7335
137.97	3.7444
141.34	3.7558
144.7	3.7682
148.07	3.7813
151.43	3.7949
154.8	3.8085
158.16	3.8234
161.53	3.838
164.89	3.8535
168.26	3.8693
171.62	3.8851
174.99	3.9012
178.35	3.9164
181.72	3.9319
185.08	3.9471
188.45	3.9623
191.81	3.9775
195.18	3.9924
198.55	4.0082
201.91	4.024
205.28	4.0395
208.64	4.0556
212.01	4.0714
215.37	4.0879
218.52	4.0981
220.16	4.0981
220.63	4.0981
0	4.09
3.37	4.0609
6.73	4.042
10.1	4.024
13.46	4.0063
16.83	3.989
20.19	3.9719
23.56	3.9552
26.92	3.9381
30.29	3.9211
33.65	3.9043
37.02	3.887
40.38	3.8687
43.75	3.8504
47.11	3.8324
50.48	3.8154
53.84	3.7996
57.21	3.7844
60.57	3.7695
63.94	3.7552
67.3	3.7419
70.67	3.7282
74.03	3.7158
77.4	3.7034
80.76	3.692
84.13	3.6811
87.49	3.6706
90.86	3.6613
94.22	3.6526
97.59	3.6439
100.95	3.6362
104.32	3.6287
107.68	3.6219
111.05	3.6157
114.41	3.6092
117.78	3.6033
121.14	3.5974
124.51	3.5918
127.87	3.5859
131.24	3.5801
134.6	3.5739
137.97	3.5677
141.34	3.5608
144.7	3.554
148.07	3.5463
151.43	3.5385
154.8	3.5305
158.16	3.5215
161.53	3.5119
164.89	3.5013
168.26	3.4898
171.62	3.4774
174.99	3.4647
178.35	3.4523
181.72	3.4402
185.08	3.4309
188.45	3.4219
191.81	3.4126
195.18	3.4015
198.54	3.3888
201.91	3.3733
205.27	3.3541
208.64	3.3252
211.99	3.275
212	3.275
214.3	3.2248
215.37	3.1972
216.97	3.147
218.28	3.097
218.73	3.0784
219.74	3.0279
220.25	2.9994
0	3.0667
0.13	3.1178
0.56	3.169
1.45	3.2195
2.85	3.2697
3.37	3.284
5.43	3.3342
6.73	3.3599
9.77	3.4099
10.1	3.4145
13.46	3.4468
16.83	3.4567
20.19	3.4644
23.56	3.4722
26.92	3.479
30.29	3.4861
33.65	3.4936
37.02	3.5022
40.38	3.5125
43.75	3.5236
47.11	3.5348
50.48	3.5466
53.84	3.5584
57.21	3.5692
60.57	3.5807
63.94	3.5915
67.3	3.6005
70.67	3.6086
74.03	3.6157
77.4	3.6219
80.76	3.6275
84.13	3.6331
87.49	3.638
90.86	3.643
94.22	3.648
97.59	3.6529
100.96	3.6585
104.32	3.6641
107.69	3.6697
111.05	3.6755
114.42	3.6821
117.78	3.6892
121.15	3.6966
124.51	3.7044
127.88	3.7134
131.24	3.723
134.61	3.7329
137.97	3.7444
141.34	3.7558
144.7	3.7682
148.07	3.7813
151.43	3.7949
154.8	3.8089
158.16	3.8234
161.53	3.8386
164.89	3.8535
168.26	3.8693
171.62	3.8848
174.99	3.9012
178.35	3.9167
181.72	3.9322
185.08	3.9474
188.45	3.9626
191.81	3.9781
195.18	3.9933
198.54	4.0088
201.91	4.0246
205.27	4.0401
208.64	4.0566
212	4.0724
215.37	4.0891
218.45	4.0981
220	4.0981
220.34	4.0978
0	4.0907
3.37	4.0609
6.73	4.042
10.1	4.0237
13.46	4.0063
16.83	3.9887
20.19	3.9716
23.56	3.9549
26.92	3.9378
30.29	3.9205
33.65	3.9034
37.02	3.8854
40.38	3.8671
43.75	3.8488
47.11	3.8312
50.48	3.8144
53.84	3.7989
57.21	3.7837
60.57	3.7692
63.94	3.7549
67.3	3.7416
70.67	3.7279
74.03	3.7152
77.4	3.7031
80.76	3.6917
84.13	3.6808
87.49	3.6703
90.86	3.6607
94.22	3.6517
97.59	3.6436
100.95	3.6359
104.32	3.6284
107.68	3.6216
111.05	3.6151
114.41	3.6089
117.78	3.603
121.14	3.5971
124.51	3.5912
127.87	3.5853
